Extension;Load;Strain 1
18.03;2485.57;2.919
18.05;2486.3;2.92
18.07;2486.86;2.92
18.08;2486.77;2.92
18.1;2486.37;2.92
18.12;2485.77;2.92
18.13;2485.62;2.92
18.15;2485.32;2.92
18.17;2485.12;2.92
18.18;2484.79;2.92
18.2;2484.36;2.92
18.22;2484.54;2.92
18.23;2484.73;2.92
18.25;2484.73;2.92
18.27;2484.79;2.92
18.28;2484.23;2.92
18.3;2483.91;2.92
18.32;2483.7;2.92
18.33;2483.65;2.92
18.35;2483.92;2.921
18.37;2484.51;2.921
18.38;2484.67;2.921
18.4;2483.82;2.921
18.42;2483.98;2.921
18.43;2483.38;2.921
18.45;2484.2;2.921
18.47;2484.31;2.921
18.48;2484.1;2.922
18.5;2484.2;2.922
18.52;2483.72;2.922
18.53;2483.87;2.922
18.55;2484.16;2.922
18.57;2483.02;2.922
18.58;2483.58;2.922
18.6;2483.6;2.922
18.62;2483.4;2.923
18.63;2483.87;2.923
18.65;2483.11;2.923
18.67;2483.58;2.923
18.68;2484.04;2.923
18.7;2483.92;2.923
18.72;2484.76;2.923
18.73;2484.71;2.923
18.75;2484.81;2.923
18.77;2484.43;2.923
18.78;2484.37;2.923
18.8;2484.75;2.923
18.82;2484.83;2.923
18.83;2484.71;2.924
18.85;2484.97;2.924
18.87;2485.81;2.924
18.88;2485.51;2.924
18.9;2485.18;2.924
18.92;2484.43;2.924
18.93;2484.85;2.925
18.95;2485.36;2.925
18.97;2485.38;2.925
18.98;2484.71;2.925
19;2484.3;2.925
19.02;2484.74;2.926
19.03;2484.89;2.926
19.05;2484.87;2.926
19.07;2485.03;2.926
19.08;2485.15;2.926
19.1;2485.08;2.926
19.12;2484.1;2.926
19.13;2485.19;2.926
19.15;2485.33;2.927
19.17;2485.16;2.927
19.18;2485.48;2.927
19.2;2486;2.927
19.22;2485.8;2.927
19.23;2485.47;2.927
19.25;2484.98;2.927
19.27;2485.71;2.927
19.28;2485.76;2.928
19.3;2485.27;2.928
19.32;2484.99;2.928
19.33;2485.43;2.928
19.35;2486.07;2.928
19.37;2486.18;2.928
19.38;2485.21;2.928
19.4;2484.94;2.929
19.42;2485.02;2.929
19.43;2484.8;2.929
19.45;2485.25;2.929
19.47;2485.31;2.929
19.48;2485;2.929
19.5;2485.01;2.929
19.52;2484.66;2.929
19.53;2485.61;2.93
19.55;2485.6;2.93
19.57;2485.74;2.93
19.58;2485.8;2.93
19.6;2486.35;2.931
19.62;2486.11;2.931
19.63;2485.74;2.931
19.65;2485.92;2.931
19.67;2485.63;2.931
19.68;2486.38;2.931
19.7;2486.3;2.931
19.72;2486.21;2.931
19.73;2486.05;2.932
19.75;2485.79;2.932
19.77;2486.65;2.932
19.78;2485.56;2.932
19.8;2485.82;2.932
19.82;2485.72;2.932
19.83;2485.78;2.932
19.85;2485.61;2.932
19.87;2485.36;2.932
19.88;2484.92;2.932
19.9;2484.88;2.932
19.92;2484.79;2.932
19.93;2484.72;2.932
19.95;2484.87;2.932
19.97;2484.49;2.933
19.98;2484.26;2.933
20;2484.67;2.933
20.02;2484.2;2.933
20.03;2484.63;2.933
20.05;2483.81;2.933
20.07;2483.77;2.933
20.08;2483.24;2.933
20.1;2483.89;2.933
20.12;2483.54;2.933
20.13;2483.53;2.933
20.15;2482.71;2.933
20.17;2482.84;2.933
20.18;2482.81;2.933
20.2;2481.63;2.933
20.22;2481.63;2.933
20.23;2481.81;2.933
20.25;2481.91;2.934
20.27;2482.37;2.934
20.28;2482.29;2.934
20.3;2481.53;2.933
20.32;2481.3;2.933
20.33;2481;2.933
20.35;2480.98;2.934
20.37;2481.58;2.934
20.38;2481.44;2.934
20.4;2481.02;2.934
20.42;2481.01;2.934
20.43;2480.76;2.934
20.45;2480.52;2.934
20.47;2480.9;2.934
20.48;2480.34;2.934
20.5;2479.49;2.934
20.52;2480.16;2.934
20.53;2480.38;2.934
20.55;2479.21;2.934
20.57;2478.63;2.934
20.58;2478.56;2.934
20.6;2478.09;2.934
20.62;2477.92;2.934
20.63;2477.84;2.934
20.65;2478.02;2.934
20.67;2477.57;2.934
20.68;2477.84;2.934
20.7;2476.97;2.934
20.72;2477.09;2.934
20.73;2476.67;2.934
20.75;2476.94;2.934
20.77;2476.87;2.934
20.78;2476.71;2.934
20.8;2476.22;2.934
20.82;2475.92;2.934
20.83;2475.01;2.934
20.85;2476.14;2.934
20.87;2476.5;2.934
20.88;2476.09;2.934
20.9;2476.33;2.934
20.92;2475.69;2.935
20.93;2475.95;2.934
20.95;2475.51;2.934
20.97;2474.55;2.934
20.98;2475.14;2.934
21;2474.63;2.934
21.02;2473.63;2.934
21.03;2473.56;2.934
21.05;2474.23;2.935
21.07;2474.16;2.935
21.08;2473.53;2.935
21.1;2473.35;2.935
21.12;2473.48;2.935
21.13;2472.95;2.934
21.15;2473.16;2.934
21.17;2472.95;2.935
21.18;2473.01;2.935
21.2;2472.72;2.935
21.22;2472.41;2.935
21.23;2472.62;2.935
21.25;2472.62;2.935
21.27;2472.38;2.935
21.28;2472;2.935
21.3;2472.04;2.935
21.32;2472;2.935
21.33;2472.23;2.935
21.35;2472.21;2.935
21.37;2471.38;2.935
21.38;2471.26;2.935
21.4;2471.13;2.935
21.42;2471.58;2.935
21.43;2471.51;2.935
21.45;2471.24;2.936
21.47;2472.1;2.936
21.48;2471.2;2.936
21.5;2470.37;2.936
21.52;2470.07;2.935
21.53;2470.25;2.935
21.55;2470.93;2.936
21.57;2470.75;2.936
21.58;2470.59;2.936
21.6;2470.2;2.936
21.62;2470.14;2.936
21.63;2469.93;2.936
21.65;2469.95;2.936
21.67;2469.61;2.936
21.68;2469.89;2.936
21.7;2469.92;2.936
21.72;2469.67;2.936
21.73;2469.69;2.936
21.75;2469.98;2.936
21.77;2470.28;2.937
21.78;2469.35;2.936
21.8;2469.5;2.936
21.82;2469.62;2.937
21.83;2469.46;2.937
21.85;2468.91;2.937
21.87;2468.21;2.937
21.88;2468.26;2.937
21.9;2468.66;2.937
21.92;2468.2;2.936
21.93;2467.98;2.936
21.95;2468.52;2.937
21.97;2468.74;2.937
21.98;2468.78;2.937
22;2468.86;2.937
22.02;2467.57;2.937
22.03;2467.28;2.937
22.05;2467.76;2.937
22.07;2468.23;2.937
22.08;2467.85;2.937
22.1;2467.53;2.937
22.12;2467.76;2.937
22.13;2467.06;2.937
22.15;2467.08;2.937
22.17;2467.1;2.937
22.18;2466.88;2.937
22.2;2466.74;2.937
22.22;2466.44;2.937
22.23;2466.53;2.937
22.25;2466.72;2.937
22.27;2466.55;2.938
22.28;2466.45;2.938
22.3;2466.14;2.938
22.32;2465.97;2.938
22.33;2465.55;2.938
22.35;2466.06;2.938
22.37;2466.47;2.938
22.38;2466.1;2.938
22.4;2466.43;2.938
22.42;2466.33;2.939
22.43;2466.07;2.938
22.45;2466.39;2.939
22.47;2465.89;2.938
22.48;2465.82;2.938
22.5;2466;2.939
22.52;2466.15;2.939
22.53;2465.74;2.939
22.55;2466.14;2.939
22.57;2466.03;2.939
22.58;2466.38;2.939
22.6;2466.02;2.939
22.62;2466.01;2.939
22.63;2466.41;2.939
22.65;2465.82;2.94
22.67;2464.96;2.94
22.68;2465.03;2.939
22.7;2464.49;2.939
22.72;2464.85;2.94
22.73;2464.71;2.94
22.75;2464.72;2.94
22.77;2465.62;2.94
22.78;2465.58;2.941
22.8;2465.58;2.94
22.82;2464.81;2.94
22.83;2464.64;2.94
22.85;2465.23;2.941
22.87;2466;2.941
22.88;2466.1;2.941
22.9;2465.1;2.941
22.92;2466.14;2.941
22.93;2465.78;2.941
22.95;2466.29;2.942
22.97;2465.57;2.942
22.98;2466.01;2.942
23;2465.01;2.942
23.02;2465.32;2.942
23.03;2465.29;2.942
23.05;2465.65;2.942
23.07;2465.36;2.942
23.08;2465.51;2.942
23.1;2465.25;2.942
23.12;2465.14;2.942
23.13;2465.53;2.943
23.15;2464.99;2.943
23.17;2464.46;2.942
23.18;2465.07;2.943
23.2;2464.76;2.943
23.22;2465.33;2.943
23.23;2464.22;2.943
23.25;2464.38;2.943
23.27;2464.83;2.943
23.28;2465.71;2.943
23.3;2464.63;2.943
23.32;2464.71;2.943
23.33;2464;2.943
23.35;2464.5;2.944
23.37;2464.86;2.944
23.38;2464.31;2.944
23.4;2464.36;2.944
23.42;2464.28;2.944
23.43;2464.16;2.944
23.45;2463.92;2.944
23.47;2464.37;2.944
23.48;2463.9;2.944
23.5;2464.21;2.944
23.52;2463.1;2.944
23.53;2463.35;2.944
23.55;2463.15;2.944
23.57;2462.83;2.944
23.58;2462.5;2.944
23.6;2463.27;2.945
23.62;2463.6;2.945
23.63;2462.8;2.945
23.65;2462.36;2.945
23.67;2462.5;2.945
23.68;2462.35;2.944
23.7;2462.3;2.944
23.72;2462.58;2.945
23.73;2462.49;2.945
23.75;2462.16;2.945
23.77;2462.1;2.945
23.78;2461.58;2.945
23.8;2461.42;2.945
23.82;2461.24;2.945
23.83;2460.94;2.945
23.85;2460.87;2.945
23.87;2461.34;2.945
23.88;2460.7;2.945
23.9;2461.02;2.945
23.92;2461.18;2.945
23.93;2460.67;2.945
23.95;2460.41;2.945
23.97;2460.37;2.945
23.98;2459.78;2.945
24;2459.62;2.945
24.02;2459.6;2.945
24.03;2460.74;2.946
24.05;2460.42;2.946
24.07;2459.76;2.946
24.08;2460.39;2.946
24.1;2459.97;2.946
24.12;2459.37;2.945
24.13;2459.29;2.946
24.15;2459.98;2.946
24.17;2460.15;2.946
24.18;2459.94;2.946
24.2;2459.63;2.946
24.22;2459.5;2.946
24.23;2459.23;2.946
24.25;2459.15;2.946
24.27;2459.4;2.946
24.28;2459.12;2.947
24.3;2458.79;2.947
24.32;2458.68;2.947
24.33;2457.62;2.947
24.35;2457.94;2.947
24.37;2458.07;2.947
24.38;2458.03;2.947
24.4;2458.33;2.947
24.42;2459.13;2.947
24.43;2459.52;2.948
24.45;2458.75;2.948
24.47;2458.62;2.948
24.48;2458.91;2.948
24.5;2459.38;2.948
24.52;2459.41;2.948
24.53;2459.69;2.948
24.55;2459.72;2.949
24.57;2460.56;2.949
24.58;2459.9;2.949
24.6;2459.87;2.949
24.62;2459.02;2.949
24.63;2459.36;2.949
24.65;2458.98;2.949
24.67;2459.66;2.949
24.68;2460.2;2.95
24.7;2459.79;2.95
24.72;2459.25;2.95
24.73;2459.62;2.95
24.75;2458.97;2.95
24.77;2459.23;2.95
24.78;2459.43;2.95
24.8;2458.9;2.95
24.82;2459.72;2.951
24.83;2459.3;2.951
24.85;2459.35;2.951
24.87;2458.75;2.951
24.88;2459.22;2.951
24.9;2459.21;2.951
24.92;2459.31;2.95
24.93;2458.93;2.95
24.95;2459.1;2.95
24.97;2459.12;2.95
24.98;2459.2;2.95
25;2458.39;2.95
25.02;2458.53;2.95
25.03;2458.22;2.95
25.05;2457.98;2.95
25.07;2458.25;2.95
25.08;2458.56;2.951
25.1;2458.05;2.951
25.12;2458.04;2.951
25.13;2457.83;2.951
25.15;2457.52;2.951
25.17;2456.79;2.951
25.18;2457.24;2.951
25.2;2456.92;2.951
25.22;2457.84;2.951
25.23;2457.8;2.952
25.25;2457.64;2.952
25.27;2457.56;2.952
25.28;2456.98;2.952
25.3;2456.3;2.951
25.32;2456.93;2.952
25.33;2457.98;2.952
25.35;2458.71;2.952
25.37;2458.05;2.952
25.38;2458.48;2.953
25.4;2457.82;2.953
25.42;2456.84;2.952
25.43;2456.96;2.952
25.45;2457.3;2.953
25.47;2456.96;2.953
25.48;2457.37;2.953
25.5;2457.23;2.953
25.52;2457.09;2.953
25.53;2456.59;2.953
25.55;2456.55;2.953
25.57;2455.93;2.953
25.58;2456.37;2.953
25.6;2455.69;2.953
25.62;2455.96;2.953
25.63;2455.44;2.953
25.65;2456.22;2.954
25.67;2456.21;2.954
25.68;2455.7;2.954
25.7;2454.78;2.954
25.72;2455.95;2.954
25.73;2455.8;2.954
25.75;2455.81;2.954
25.77;2455.7;2.954
25.78;2456.15;2.954
25.8;2456.08;2.955
25.82;2455.47;2.955
25.83;2455.57;2.955
25.85;2454.68;2.955
25.87;2455.17;2.955
25.88;2455.45;2.955
25.9;2455.7;2.955
25.92;2455.21;2.955
25.93;2455.1;2.955
25.95;2454.51;2.955
25.97;2454.82;2.955
25.98;2454.26;2.955
26;2453.78;2.955
26.02;2453.5;2.955
26.03;2453.68;2.956
26.05;2454.08;2.956
26.07;2454.35;2.956
26.08;2454.74;2.956
26.1;2454.51;2.956
26.12;2453.72;2.956
26.13;2454.2;2.956
26.15;2454.27;2.956
26.17;2454.45;2.956
26.18;2453.63;2.956
26.2;2454.39;2.957
26.22;2453.91;2.957
26.23;2453.86;2.957
26.25;2453.44;2.957
26.27;2453.23;2.957
26.28;2453.36;2.957
26.3;2453.6;2.957
26.32;2453.96;2.957
26.33;2453.37;2.957
26.35;2452.98;2.958
26.37;2453.08;2.958
26.38;2452.9;2.958
26.4;2452.51;2.958
26.42;2452.22;2.958
26.43;2452.25;2.958
26.45;2452.15;2.958
26.47;2452.72;2.958
26.48;2451.92;2.958
26.5;2452.63;2.958
26.52;2451.77;2.958
26.53;2452;2.958
26.55;2452.15;2.958
26.57;2452.06;2.958
26.58;2451.71;2.958
26.6;2451.81;2.958
26.62;2451.15;2.958
26.63;2451.83;2.959
26.65;2451.29;2.959
26.67;2450.98;2.959
26.68;2451.27;2.959
26.7;2451.66;2.959
26.72;2451.26;2.959
26.73;2450.8;2.959
26.75;2450.86;2.959
26.77;2451.31;2.959
26.78;2451.15;2.96
26.8;2450.56;2.96
26.82;2450.17;2.96
26.83;2450.35;2.96
26.85;2450.54;2.96
26.87;2451.28;2.96
26.88;2450.79;2.96
26.9;2450.85;2.961
26.92;2450.18;2.96
26.93;2449.66;2.96
26.95;2449.75;2.96
26.97;2450.05;2.961
26.98;2450.5;2.961
27;2450.54;2.961
27.02;2449.97;2.961
27.03;2450.07;2.961
27.05;2450.05;2.961
27.07;2449.28;2.961
27.08;2449.02;2.961
27.1;2449.25;2.961
27.12;2448.81;2.961
27.13;2449;2.961
27.15;2448.81;2.961
27.17;2448.34;2.961
27.18;2448.61;2.961
27.2;2448.08;2.961
27.22;2447.07;2.961
27.23;2447.66;2.961
27.25;2447.02;2.961
27.27;2447.38;2.962
27.28;2447.53;2.962
27.3;2447.7;2.962
27.32;2446.86;2.962
27.33;2446.34;2.961
27.35;2446.65;2.961
27.37;2446.67;2.961
27.38;2446.89;2.962
27.4;2447.13;2.962
27.42;2447.28;2.962
27.43;2447.05;2.962
27.45;2446.85;2.962
27.47;2446.1;2.962
27.48;2445.89;2.962
27.5;2445.8;2.962
27.52;2446.08;2.962
27.53;2446.02;2.962
27.55;2445.62;2.963
27.57;2445.62;2.963
27.58;2445.53;2.963
27.6;2445.72;2.963
27.62;2445.24;2.963
27.63;2445.51;2.963
27.65;2445.6;2.963
27.67;2445.27;2.963
27.68;2445.48;2.964
27.7;2445.31;2.964
27.72;2445.48;2.964
27.73;2445.01;2.964
27.75;2444.58;2.964
27.77;2444.51;2.964
27.78;2444.99;2.964
27.8;2445.14;2.964
27.82;2445.1;2.964
27.83;2444.83;2.965
27.85;2444.37;2.965
27.87;2444.6;2.965
27.88;2443.93;2.965
27.9;2443.81;2.965
27.92;2443.36;2.965
27.93;2444.15;2.965
27.95;2444.73;2.966
27.97;2444.17;2.966
27.98;2443.44;2.966
28;2444.12;2.966
28.02;2442.73;2.966
28.03;2442.05;2.965
28.05;2442.46;2.966
28.07;2442.62;2.966
28.08;2443.28;2.966
28.1;2443.06;2.967
28.12;2442.7;2.967
28.13;2442.95;2.967
28.15;2442.26;2.967
28.17;2442.49;2.967
28.18;2443.04;2.967
28.2;2443.74;2.967
28.22;2443.59;2.968
28.23;2443.3;2.968
28.25;2442.68;2.968
28.27;2442.93;2.968
28.28;2442.78;2.968
28.3;2442.25;2.968
28.32;2442.16;2.968
28.33;2442.5;2.969
28.35;2443.4;2.969
28.37;2442.79;2.969
28.38;2442.21;2.969
28.4;2442.45;2.969
28.42;2442.01;2.969
28.43;2441.41;2.969
28.45;2441.83;2.969
28.47;2442.27;2.969
28.48;2442.15;2.969
28.5;2442.13;2.97
28.52;2441.71;2.97
28.53;2441.75;2.97
28.55;2441.16;2.97
28.57;2440.91;2.97
28.58;2441.36;2.97
28.6;2441.93;2.97
28.62;2441.94;2.97
28.63;2441.18;2.97
28.65;2441.13;2.97
28.67;2440.8;2.971
28.68;2440.6;2.971
28.7;2441.15;2.971
28.72;2440.42;2.971
28.73;2440.88;2.971
28.75;2440.55;2.972
28.77;2441.42;2.972
28.78;2441.1;2.972
28.8;2440.26;2.972
28.82;2440.1;2.972
28.83;2439.85;2.972
28.85;2439.71;2.972
28.87;2440.17;2.973
28.88;2439.96;2.973
28.9;2440.64;2.974
28.92;2440.47;2.974
28.93;2440.01;2.974
28.95;2440.01;2.974
28.97;2440.12;2.974
28.98;2439.24;2.974
29;2439.86;2.974
29.02;2440.08;2.974
29.03;2439.81;2.975
29.05;2439.96;2.975
29.07;2439.68;2.975
29.08;2439.13;2.975
29.1;2439.54;2.975
29.12;2439.31;2.975
29.13;2439.1;2.976
29.15;2439.67;2.976
29.17;2440.28;2.976
29.18;2439.52;2.976
29.2;2438.67;2.976
29.22;2438.62;2.976
29.23;2438.21;2.977
29.25;2439.35;2.977
29.27;2439.43;2.977
29.28;2439.18;2.978
29.3;2439.9;2.978
29.32;2439.64;2.978
29.33;2438.98;2.978
29.35;2438.76;2.978
29.37;2438.92;2.979
29.38;2439.46;2.979
29.4;2439.8;2.979
29.42;2440.13;2.98
29.43;2440.63;2.98
29.45;2440.15;2.98
29.47;2439.93;2.98
29.48;2440.45;2.981
29.5;2440.05;2.981
29.52;2440.77;2.981
29.53;2440.09;2.981
29.55;2440.15;2.982
29.57;2440.5;2.982
29.58;2441.01;2.982
29.6;2440.47;2.983
29.62;2440.47;2.983
29.63;2439.68;2.983
29.65;2440.58;2.984
29.67;2440.78;2.984
29.68;2440.44;2.984
29.7;2440.32;2.984
29.72;2440.55;2.985
29.73;2440.91;2.985
29.75;2440.79;2.985
29.77;2440.87;2.986
29.78;2441.07;2.986
29.8;2441.14;2.986
29.82;2441.64;2.987
29.83;2441.79;2.987
29.85;2441.64;2.987
29.87;2441.51;2.987
29.88;2441.16;2.988
29.9;2441.33;2.988
29.92;2441.42;2.988
29.93;2440.8;2.988
29.95;2440.66;2.989
29.97;2441.19;2.989
29.98;2441.53;2.989
30;2441.56;2.99
30.02;2440.64;2.99
30.03;2440.92;2.99
30.05;2440.9;2.99
30.07;2440.46;2.991
30.08;2440.76;2.991
30.1;2441.01;2.991
30.12;2441.2;2.992
30.13;2440.9;2.992
30.15;2440.58;2.992
30.17;2440.49;2.992
30.18;2440.83;2.993
30.2;2440.99;2.993
30.22;2441.23;2.993
30.23;2441.97;2.994
30.25;2441.48;2.994
30.27;2441.41;2.995
30.28;2441.45;2.995
30.3;2441.2;2.995
30.32;2440.07;2.995
30.33;2440.39;2.996
30.35;2440.36;2.996
30.37;2440.61;2.996
30.38;2440.49;2.997
30.4;2441.02;2.997
30.42;2439.98;2.998
30.43;2439.88;2.998
30.45;2440.14;2.998
30.47;2440.05;2.999
30.48;2440.19;2.999
30.5;2440.75;2.999
30.52;2440.2;3
30.53;2440.84;3
30.55;2441.37;3.001
30.57;2441.13;3.001
30.58;2440.96;3.002
30.6;2440.83;3.002
30.62;2440.99;3.002
30.63;2440.44;3.003
30.65;2441.06;3.003
30.67;2441.79;3.004
30.68;2441.6;3.004
30.7;2441.54;3.005
30.72;2441.52;3.005
30.73;2441.41;3.005
30.75;2441.12;3.006
30.77;2442.16;3.007
30.78;2441.92;3.007
30.8;2442.62;3.008
30.82;2441.92;3.008
30.83;2441.14;3.009
30.85;2440.65;3.009
30.87;2441.3;3.009
30.88;2441.42;3.01
30.9;2442.22;3.011
30.92;2442;3.011
30.93;2442.2;3.012
30.95;2443.06;3.013
30.97;2443.06;3.013
30.98;2443.32;3.014
31;2442.75;3.014
31.02;2442.56;3.015
31.03;2443.12;3.015
31.05;2443.98;3.016
31.07;2444.13;3.017
31.08;2443.28;3.017
31.1;2443.41;3.018
31.12;2443.4;3.018
31.13;2443.51;3.019
31.15;2442.62;3.019
31.17;2442.98;3.02
31.18;2443.61;3.021
31.2;2444.53;3.022
31.22;2444.12;3.022
31.23;2442.7;3.023
31.25;2443.14;3.023
31.27;2442.86;3.024
31.28;2442.68;3.024
31.3;2443.06;3.025
31.32;2443.12;3.026
31.33;2443.3;3.027
31.35;2442.83;3.027
31.37;2442.72;3.028
31.38;2443.08;3.029
31.4;2443.08;3.029
31.42;2442.82;3.03
31.43;2443.02;3.031
31.45;2444.02;3.032
31.47;2443.6;3.033
31.48;2444.05;3.033
31.5;2443.74;3.034
31.52;2443.56;3.035
31.53;2443.82;3.036
31.55;2444.32;3.037
31.57;2443.69;3.038
31.58;2444.75;3.039
31.6;2445.2;3.04
31.62;2445.38;3.041
31.63;2445.55;3.042
31.65;2444.93;3.043
31.67;2443.9;3.044
31.68;2443.96;3.044
31.7;2444.39;3.045
31.72;2445.19;3.047
31.73;2445.5;3.048
31.75;2445.79;3.049
31.77;2445.75;3.05
31.78;2446.05;3.051
31.8;2446.04;3.052
31.82;2445.39;3.053
31.83;2446.01;3.054
31.85;2446.62;3.056
31.87;2447.44;3.057
31.88;2448.22;3.058
31.9;2448.64;3.059
31.92;2448.05;3.061
31.93;2446.89;3.061
31.95;2446.18;3.062
31.97;2446.42;3.064
31.98;2447.14;3.065
32;2447.81;3.067
32.02;2447.8;3.068
32.03;2447.85;3.069
32.05;2447.83;3.071
32.07;2447.25;3.072
32.08;2446.97;3.073
32.1;2446.7;3.075
32.12;2447.45;3.076
32.13;2447.17;3.077
32.15;2447.01;3.079
32.17;2446.75;3.08
32.18;2447.61;3.082
32.2;2447.29;3.083
32.22;2447.49;3.085
32.23;2446.72;3.086
32.25;2447.23;3.088
32.27;2447.88;3.089
32.28;2447.67;3.091
32.3;2447.51;3.092
32.32;2447.59;3.094
32.33;2447.12;3.096
32.35;2446.74;3.097
32.37;2446.82;3.099
32.38;2447.18;3.101
32.4;2448.25;3.103
32.42;2448.39;3.105
32.43;2449.07;3.107
32.45;2447.76;3.108
32.47;2447.78;3.11
32.48;2447.62;3.112
32.5;2448.45;3.114
32.52;2448.16;3.116
32.53;2448.86;3.118
32.55;2449.47;3.12
32.57;2449.1;3.122
32.58;2449.64;3.124
32.6;2449.76;3.127
32.62;2449.62;3.129
32.63;2449.47;3.131
32.65;2449.86;3.133
32.67;2449.87;3.135
32.68;2451.02;3.137
32.7;2450.96;3.14
32.72;2451.15;3.142
32.73;2450.71;3.144
32.75;2450.51;3.146
32.77;2449.75;3.148
32.78;2450.48;3.151
32.8;2450.34;3.153
32.82;2450.45;3.156
32.83;2450.61;3.158
32.85;2450.76;3.161
32.87;2450.75;3.163
32.88;2450.28;3.166
32.9;2450.37;3.168
32.92;2450.23;3.171
32.93;2450.99;3.173
32.95;2450.5;3.176
32.97;2450.74;3.179
32.98;2450.55;3.181
33;2450.9;3.184
33.02;2450.73;3.187
33.03;2450.77;3.189
33.05;2450.83;3.192
33.07;2451.47;3.195
33.08;2451.75;3.198
33.1;2451.97;3.201
33.12;2451.78;3.204
33.13;2451.08;3.207
33.15;2451.7;3.21
33.17;2452.29;3.213
33.18;2451.88;3.216
33.2;2452.61;3.219
33.22;2453.12;3.222
33.23;2452.66;3.225
33.25;2452.25;3.228
33.27;2452.48;3.231
33.28;2451.92;3.235
33.3;2452.09;3.238
33.32;2452.11;3.241
33.33;2453.11;3.245
33.35;2453.04;3.248
33.37;2453.69;3.251
33.38;2453.65;3.255
33.4;2454.16;3.258
33.42;2454.36;3.262
33.43;2453.79;3.265
33.45;2452.95;3.268
33.47;2453.81;3.272
33.48;2454.02;3.276
33.5;2455.16;3.28
33.52;2454.97;3.283
33.53;2455.17;3.287
33.55;2454.97;3.291
33.57;2455.44;3.294
33.58;2455.15;3.298
33.6;2454.91;3.302
33.62;2455.37;3.306
33.63;2456.27;3.31
33.65;2456.62;3.314
33.67;2455.98;3.317
33.68;2456.3;3.321
33.7;2455.31;3.325
33.72;2455.93;3.329
33.73;2456.23;3.333
33.75;2455.54;3.337
33.77;2456.29;3.342
33.78;2456.53;3.346
33.8;2456.62;3.35
33.82;2456.53;3.354
33.83;2456.15;3.358
33.85;2456.06;3.362
33.87;2456.05;3.366
33.88;2456.08;3.371
33.9;2457.09;3.375
33.92;2457.62;3.38
33.93;2457.26;3.384
33.95;2457.37;3.388
33.97;2457.2;3.393
33.98;2457.15;3.397
34;2457.19;3.401
34.02;2457.18;3.406
34.03;2457.04;3.411
34.05;2457.98;3.415
34.07;2457.58;3.42
34.08;2457.28;3.424
34.1;2456.74;3.429
34.12;2456.79;3.433
34.13;2456.25;3.438
34.15;2456.77;3.443
34.17;2457.36;3.448
34.18;2456.93;3.453
34.2;2456.91;3.457
34.22;2457.01;3.462
34.23;2456.97;3.467
34.25;2457.08;3.472
34.27;2456.52;3.477
34.28;2457.19;3.482
34.3;2457.59;3.487
34.32;2457.88;3.492
34.33;2458.33;3.497
34.35;2458.62;3.502
34.37;2458.37;3.507
34.38;2458.47;3.512
34.4;2458.13;3.517
34.42;2457.78;3.522
34.43;2457.41;3.527
34.45;2457.66;3.533
34.47;2458.14;3.538
34.48;2458.01;3.543
34.5;2457.77;3.548
34.52;2457.58;3.554
34.53;2457.02;3.559
34.55;2457.29;3.564
34.57;2457.17;3.57
34.58;2457.86;3.576
34.6;2457.87;3.581
34.62;2458.29;3.586
34.63;2457.85;3.592
34.65;2457.74;3.597
34.67;2458.05;3.603
34.68;2457.89;3.608
34.7;2458;3.614
34.72;2458.94;3.62
34.73;2459.59;3.626
34.75;2459.02;3.631
34.77;2458.2;3.637
34.78;2459.08;3.643
34.8;2458.8;3.649
34.82;2458.49;3.655
34.83;2458.56;3.661
34.85;2458.76;3.667
34.87;2459.61;3.673
34.88;2459.99;3.679
34.9;2459.43;3.685
34.92;2459.2;3.691
34.93;2458.66;3.697
34.95;2459.44;3.703
34.97;2459.2;3.71
34.98;2459.48;3.716
35;2459.74;3.722
35.02;2460.05;3.729
35.03;2460.27;3.735
35.05;2460.5;3.741
35.07;2459.71;3.748
35.08;2459.1;3.754
35.1;2460.5;3.761
35.12;2460.95;3.767
35.13;2461.36;3.774
35.15;2461.33;3.78
35.17;2460.99;3.786
35.18;2460.49;3.793
35.2;2460.87;3.8
35.22;2460.91;3.806
35.23;2461.44;3.813
35.25;2461.56;3.82
35.27;2462.11;3.827
35.28;2462.07;3.834
35.3;2462.33;3.841
35.32;2461.62;3.847
35.33;2461.87;3.854
35.35;2461.49;3.861
35.37;2461.74;3.868
35.38;2462.38;3.875
35.4;2462.93;3.882
35.42;2462.85;3.89
35.43;2463.18;3.897
35.45;2462.71;3.904
35.47;2462.89;3.911
35.48;2463.2;3.918
35.5;2463.63;3.926
35.52;2463.49;3.933
35.53;2464.54;3.941
35.55;2464.65;3.948
35.57;2464.92;3.955
35.58;2464.49;3.963
35.6;2464.88;3.97
35.62;2464.13;3.978
35.63;2465.05;3.986
35.65;2465.55;3.993
35.67;2465.71;4.001
35.68;2465.91;4.009
35.7;2466.21;4.017
35.72;2465.72;4.024
35.73;2465.61;4.032
35.75;2465.32;4.04
35.77;2466.06;4.048
35.78;2466.57;4.056
35.8;2466.51;4.065
35.82;2467.26;4.073
35.83;2467.47;4.081
35.85;2466.94;4.089
35.87;2466.54;4.097
35.88;2467.4;4.105
35.9;2467.95;4.114
35.92;2468.73;4.123
35.93;2468.8;4.131
35.95;2468.48;4.14
35.97;2468.37;4.148
35.98;2469.09;4.157
36;2468.99;4.165
36.02;2469.17;4.174
